ALLOWED ACTION,CARD KIND: PREPAID,CARD KIND: DEBIT,CARD KIND: CREDIT,CARD STATUS: ORDERED,CARD STATUS: INACTIVE,CARD STATUS: ACTIVE,CARD STATUS: RESTRICTED,CARD STATUS: BLOCKED,CARD STATUS: EXPIRED,CARD STATUS: CLOSED
ACTION1,TAK,TAK,TAK,NIE,NIE,TAK,NIE,NIE,NIE,NIE
ACTION2,TAK,TAK,TAK,NIE,TAK,NIE,NIE,NIE,NIE,NIE
ACTION3,TAK,TAK,TAK,TAK,TAK,TAK,TAK,TAK,TAK,TAK
ACTION4,TAK,TAK,TAK,TAK,TAK,TAK,TAK,TAK,TAK,TAK
ACTION5,NIE,NIE,TAK,TAK,TAK,TAK,TAK,TAK,TAK,TAK
ACTION6,TAK,TAK,TAK,TAK - ale jak nie ma pin to NIE,TAK - ale jak nie ma pin to NIE,TAK - ale jak nie ma pin to NIE,NIE,TAK - jeżeli pin nadany,NIE,NIE
ACTION7,TAK,TAK,TAK,TAK - jeżeli brak pin,TAK - jeżeli brak pin,TAK - jeżeli brak pin,NIE,TAK - jeżeli pin nadany,NIE,NIE
ACTION8,TAK,TAK,TAK,TAK,TAK,TAK,NIE,TAK,NIE,NIE
ACTION9,TAK,TAK,TAK,TAK,TAK,TAK,TAK,TAK,TAK,TAK
ACTION10,TAK,TAK,TAK,TAK,TAK,TAK,NIE,NIE,NIE,NIE
ACTION11,TAK,TAK,TAK,NIE,TAK,TAK,NIE,NIE,NIE,NIE
ACTION12,TAK,TAK,TAK,TAK,TAK,TAK,NIE,NIE,NIE,NIE
ACTION13,TAK,TAK,TAK,TAK,TAK,TAK,NIE,NIE,NIE,NIE
